ID,DATE,ROE,RTN1M,PRCCD,CUM_DIV,QES_GSECTOR,FRTN1P
1045.04,1/31/2017,65.64454802,-0.052259584,44.25,1,20,0.049943503
1075.01,1/31/2017,9.721892007,0.003267974,77.63,56.23,55,0.058740178
1078.01,1/31/2017,5.109818355,0.094376464,41.77,62.795625,35,0.079243476
1161.01,1/31/2017,-2.74E+12,-0.085537919,10.37,0.005,45,0.394406943
1177.01,1/31/2017,13.16392917,-0.041528909,118.61,23.1225,35,0.085574572
1209.01,1/31/2017,19.42786666,-0.028229732,139.76,49.20875,15,0.005080137
1230.01,1/31/2017,36.77259596,0.05736504,93.82,2.9925,20,0.045832445
1300.01,1/31/2017,26.00692301,0.021320673,118.32,29.2888,20,0.057851589
1327.01,1/31/2017,26.79461541,0.232520761,91.74,2.523333333,45,0.033464138
1380.01,1/31/2017,-28.07893156,-0.130197463,54.18,11.98333333,10,-0.050572167
1440.01,1/31/2017,3.540454182,0.01747141,64.06,69.77,55,0.054636278
1447.01,1/31/2017,25.5383453,0.035367171,76.38,24.22333333,40,0.048180152
1449.01,1/31/2017,13.33400728,0.005603448,69.99,16.02831436,40,0.039862838
1487.01,1/31/2017,0.370941546,-0.01607717,64.26,100.3630407,40,-0.005291005
1598.01,1/31/2017,15.85603689,0.051440329,51.1,4.383185185,20,0.056164384
1602.01,1/31/2017,26.33597723,0.071609329,156.68,13.48025,35,0.134031146
1632.01,1/31/2017,17.15011225,0.031947122,74.94,12.6905,45,0.099279424
1678.01,1/31/2017,-67.80083929,-0.053568615,59.82,11.32961039,10,-0.120862588
1690.01,1/31/2017,36.22818356,0.047746503,121.35,8.684285714,45,0.133580552
1704.01,1/31/2017,23.26304407,0.061357298,34.25,3.5,45,0.060437956
1722.01,1/31/2017,8.717255086,-0.030449069,44.26,10.48267974,30,0.068459105
1878.01,1/31/2017,-27.57746305,0.09904067,81.34,1.1025,45,0.060978608
1891.01,1/31/2017,32.82203636,-0.01741584,100.99,36.68095,45,0.016140212
1913.01,1/31/2017,30.70329242,0.03987468,73.02,29.5425,15,0.110928513
1976.01,1/31/2017,-17.79975278,-0.029090349,63.08,17.89,10,-0.041693088
1988.01,1/31/2017,10.72090867,0.015851872,38.13,3.35375,15,-0.034093889
2019.01,1/31/2017,8.965595664,-0.051920642,44.73,17.37330507,40,0.053878829
2044.01,1/31/2017,33.20938662,0.057553637,237.33,14.79,35,0.03332912
2086.01,1/31/2017,59.39144637,0.080514208,47.91,60.5055,35,0.062826132
2111.01,1/31/2017,12.76985477,0.070915131,177.29,24.65225,35,0.032489142
2136.01,1/31/2017,74.51334702,-0.071047209,49.01,53.7571,50,0.012650479
2176.02,1/31/2017,9.164241648,0.007117438,164.14,0,40,0.044352382
2184.01,1/31/2017,24.09126496,0.043355988,44.52,9.033333333,25,-0.008760108
2269.01,1/31/2017,48.7384494,-0.066550674,21.46,12.846875,25,-0.04193849
2285.01,1/31/2017,109.5568487,0.049717369,163.42,35.16037037,20,0.111553053
2312.01,1/31/2017,32.68183302,-0.035260353,47.06,6.856111111,20,0.030174246
2403.01,1/31/2017,29.02685644,-0.152121834,49.16,33.31725,35,0.153580146
2435.01,1/31/2017,69.34474811,0.015138023,45.6,10.76064185,30,0.069298246
2547.01,1/31/2017,15.29979325,0.096184122,146.22,7.688922222,35,0.018328546
2574.01,1/31/2017,14.69352765,0.291121625,46.39,7.51,20,0.050657469
2663.01,1/31/2017,45.44517016,0.034893336,62.23,26.2203625,30,-0.046279929
2710.02,1/31/2017,19.83042334,-0.023155698,149.76,2.44,30,0.063100962
2751.01,1/31/2017,21.1584938,0.041545088,74.96,21.23850449,35,0.085512273
2817.01,1/31/2017,-0.372439479,0.039788656,95.66,30.67525,20,0.01045369
2884.01,1/31/2017,6.453870923,0.087468461,25.86,26.22820782,50,-0.061871616
2968.01,1/31/2017,9.89203274,-0.013674817,84.63,33.25633333,40,0.070778684
2991.01,1/31/2017,-0.28365527,-0.053950722,111.35,57.83,10,0.020026942
3026.01,1/31/2017,22.97979164,0.023308441,45.22,4.646069444,30,0.106368863
3062.01,1/31/2017,25.90332661,0.004759432,116.11,10.95016667,20,0.016363793
3121.01,1/31/2017,315.1807229,0.006498917,120,37.6425,30,0.140083333
3144.01,1/31/2017,26.09636079,0.00265316,41.57,15.93447917,30,0.009381766
3170.01,1/31/2017,632.2738386,-0.007182152,64.58,17.5685,30,0.130071229
3221.01,1/31/2017,25.14770741,0.013449296,112.7,21.00925926,40,0.026175688
3226.01,1/31/2017,16.7829443,0.092251991,37.71,19.407907,25,-0.007690268
3231.01,1/31/2017,6.215388625,-0.008515636,67.53,34.37648148,40,0.055530875
3243.01,1/31/2017,6.610425502,-0.060575467,55.83,155.164107,40,0.074153681
3310.01,1/31/2017,14.05039622,-0.015738118,31.27,7.073148148,45,0.040134314
3336.01,1/31/2017,-2.975395766,0.046785594,62.2,45.0717,45,0.102250804
3362.01,1/31/2017,10.36443954,-0.006573957,39.09,31.53873704,30,0.054233819
3413.01,1/31/2017,9.082414502,0.009093377,74.35,68.56,55,0.045460659
3439.01,1/31/2017,14.46322068,0.023546372,42.6,21.68,55,0.052875587
3504.01,1/31/2017,10.12398973,0.055507917,184.61,1.315030003,35,0.078706462
3505.01,1/31/2017,6.602183588,-0.008118385,96.52,21.7985,30,0.044343141
3532.01,1/31/2017,19.52082838,0.091470952,26.49,8.596666667,45,0.04813137
3650.01,1/31/2017,16.06853138,0.075656691,147.01,23.98,20,0.017039657
3735.01,1/31/2017,9.272264587,0.078108941,83.92,27.026875,35,0.01942326
3813.01,1/31/2017,25.61228888,-0.107296137,64.48,16.94783333,25,-0.07924938
3835.01,1/31/2017,20.06633827,0.038916925,107.05,25.35866667,20,0.022793087
3851.03,1/31/2017,38.26733756,-0.039642204,47.24,1.545,20,0.06122989
3897.01,1/31/2017,9.068909887,0.001319663,98.64,69.0225,55,0.027777778
3980.01,1/31/2017,19.84734372,0.061696411,110.65,11.13006667,25,-0.005061003
4016.02,1/31/2017,22.39842988,-0.003375186,73.82,1.88,25,-0.010837171
4029.01,1/31/2017,14.74546932,-0.004047526,76.28,48.20833333,55,0.017829051
4058.01,1/31/2017,13.83760396,0.037635126,77.75,36.37375,20,0.035884244
4060.01,1/31/2017,15.86598217,0.042118141,59.63,35.11666667,15,0.044105316
4066.01,1/31/2017,42.01738061,0.00634473,85.65,17.91625,25,-0.006421483
4087.01,1/31/2017,23.80997355,0.028610354,75.5,43.59833333,15,0.045298013
4093.01,1/31/2017,6.935210205,0.011852615,78.54,137.3823012,55,0.061942959
4094.01,1/31/2017,5.05E+11,0.010715463,122.62,205.766,20,-0.135194096
4108.01,1/31/2017,8.663470757,0.023100937,49.16,6.91637037,20,-0.055126119
4145.01,1/31/2017,11.16436337,0.021284756,53.19,8.23,35,0.020116563
4199.01,1/31/2017,12.5196522,0.055000745,70.78,25.68344167,20,0.016953942
4213.01,1/31/2017,16.20771859,0.024825115,120.13,12.605,15,0.031965371
4321.01,1/31/2017,19.32672795,0.052197309,58.66,26.94416667,20,0.032730992
4423.01,1/31/2017,20.17954071,-0.008035186,117.28,30.30208333,20,0.11792292
4430.01,1/31/2017,-1.012146348,-0.07293578,60.63,13.5375,10,-0.011710374
4494.01,1/31/2017,23.7943137,-0.016616314,52.08,5.9875,20,0.082565284
4503.01,1/31/2017,4.733657577,-0.070573898,83.89,38.8675,10,-0.021695077
4510.01,1/31/2017,1.406992612,0.063649222,60.16,11.56107901,15,-0.042220745
4517.01,1/31/2017,12.60090156,0.035660472,123.72,49.525,55,0.066783867
4598.01,1/31/2017,12.58793543,0.015628357,189.11,7.82,20,0.02046428
4605.01,1/31/2017,14.29955012,-0.011821828,140.43,66.4201,60,0.002136296
4611.02,1/31/2017,15.3361817,-0.175090757,29.54,8.9625,25,0.124576845
4640.01,1/31/2017,9.589124977,-0.032258065,26.1,16.52896154,40,0.051340996
4674.01,1/31/2017,6.748841682,0.003481894,14.41,17.86032849,40,0.059680777
4699.01,1/31/2017,8.98826535,0.039250783,162.57,40.26,40,0.027065264
4723.01,1/31/2017,12.62451416,0.024917267,52.65,18.68940303,40,0.044634378
4818.01,1/31/2017,6.886575675,0.056740289,55.5,16.69875,20,0.001801802
4839.01,1/31/2017,15.62145025,0.035449299,12.36,30.55583524,25,0.013754045
4885.01,1/31/2017,13.69964834,0.004042446,39.74,9.186681481,40,0.083039758
4973.01,1/31/2017,11.94775208,0.035989222,53.83,22.11875,40,0.057960245
4988.01,1/31/2017,17.24441998,0.071061244,22.91,31.04,25,0.118725447
4990.01,1/31/2017,25.62141491,0.026292335,23.03,7.496412963,25,0.077724707
5046.01,1/31/2017,27.77198313,0.053168076,181.08,35.56375,20,0.048210736
5047.01,1/31/2017,9.329016346,-0.060126582,29.7,17.23506667,20,0.011784512
5071.01,1/31/2017,31.45311355,0.019265015,62.48,26.0270625,30,-0.033770807
5073.19,1/31/2017,34.43826641,0.050803674,36.61,4.1,25,0.006282436
5125.01,1/31/2017,21.39631743,0.013292862,96.81,38.59254321,25,-0.011362463
5234.01,1/31/2017,7.9962808,0.052478134,32.39,16.75,25,0.082124112
5256.01,1/31/2017,27.47236432,0.087491927,252.57,40.6325,20,-0.013422022
5439.01,1/31/2017,-45.75894628,0.04584951,56.57,12.1524,10,-0.051794237
5492.01,1/31/2017,11.05434278,0.002342149,102.71,22.052,45,0.070002921
5518.01,1/31/2017,34.65566691,0.067232292,82.51,16.33900741,25,0.17403951
5543.01,1/31/2017,5.886076772,-0.009412819,66.3,77.0754,60,0.074660633
5568.04,1/31/2017,9.118149706,0.022560696,89.29,4.05,30,0.024862807
5581.01,1/31/2017,-2.187309726,-0.080620155,71.16,18.27685,10,-0.029370433
5597.01,1/31/2017,82.6880265,0.019723484,105.47,25.78016667,30,0.033165829
5606.01,1/31/2017,22.67295999,0.014150943,15.05,39.29405,45,0.154152824
5643.04,1/31/2017,27.3674989,0.020968127,57.58,26.99100001,25,-0.006599514
5680.01,1/31/2017,100.4838499,0.026103819,137.58,17.05949491,25,0.053278093
5709.01,1/31/2017,21.38106562,0.047687446,36.3,4.76625,30,-0.02892562
5742.01,1/31/2017,-4.479677866,0.063717532,26.21,39.3225,55,0.052556276
5783.01,1/31/2017,32.80529331,0.020706707,99.08,7.105833333,20,-0.006863141
5786.01,1/31/2017,8.0747925,0.023449319,13.53,13.80072358,40,0.045084996
5878.01,1/31/2017,41.18182738,0.038706516,127.2,21.4840625,20,0.037814465
5959.01,1/31/2017,24.18017872,0.057436034,79.35,28.9058,20,0.000126024
6008.01,1/31/2017,16.91105956,0.015164047,36.82,9.0145875,45,-0.009777295
6066.01,1/31/2017,77.58829103,0.051388638,174.52,50.305,45,0.038391015
6078.01,1/31/2017,24.46772777,-0.005261818,117.21,33.82333333,15,0.072434093
6104.01,1/31/2017,19.08750276,0.066716924,56.6,31.5562,15,-0.060733216
6136.01,1/31/2017,28.63010987,0.005126015,23.53,5.868333333,25,0.031874203
6216.01,1/31/2017,4.826628707,0.027192982,58.55,0,20,-0.033988044
6266.01,1/31/2017,22.92080957,-0.017012412,113.25,34.2759375,35,0.086181015
6268.01,1/31/2017,-6.104011609,0.067734887,43.98,16.27111693,20,-0.04638472
6304.01,1/31/2017,160.5409173,0.081723437,85.11,30.32,45,0.065209729
6310.04,1/31/2017,2.033611072,0.084741671,22.34,7.895,10,-0.04610564
6335.01,1/31/2017,11.19940257,0.012492634,85.91,189.6983333,20,0.031661041
6375.01,1/31/2017,30.25246042,-0.01356668,72.71,32.9665,30,0.025856141
6435.01,1/31/2017,536.6384522,0.061426569,121.13,57.1253,30,0.094278874
6502.01,1/31/2017,32.36401506,-0.015937409,33.96,9.4538125,30,-0.060070671
6565.01,1/31/2017,16.75615158,0.086352029,114.86,2.97,45,0.032039004
6649.01,1/31/2017,33.31215971,-0.023731588,47.72,17.27333333,25,0.030595138
6669.01,1/31/2017,14.68274876,0.040996972,44.65,20.16833333,25,0.092721165
6682.01,1/31/2017,0.63330546,0.025806452,23.85,8.457666667,40,0.116142558
6730.01,1/31/2017,17.74395836,0.047314752,77.03,36.4750625,35,0.081786317
6733.01,1/31/2017,5.81E+12,-0.085510328,60.21,35.0607,25,-0.116093672
6742.01,1/31/2017,8.373885496,0.02308737,67.51,28.195,40,0.039253444
6774.01,1/31/2017,143.1623117,0.005561335,251.33,53.17923313,20,0.067918673
6781.01,1/31/2017,0.054895171,-0.005338458,46.58,5.656111111,40,0.009929154
6788.01,1/31/2017,-23.27760218,-0.05878929,32.34,1.886666667,10,-0.145949289
6829.01,1/31/2017,31.07772614,0.032480315,73.08,7.3699375,25,0.017651888
7017.01,1/31/2017,-7.934774326,-0.032351242,16.75,38.0025,10,-0.041791045
7063.01,1/31/2017,11.17712075,-0.040870488,18.07,42.0227,60,-0.004427227
7065.01,1/31/2017,25.54319806,0.011392218,68.02,23.9925,40,0.080270509
7085.01,1/31/2017,511.4427861,0.045224541,32.95,17.29935,20,0.025189681
7116.01,1/31/2017,12.74957443,-0.048638838,26.21,15.414368,25,-0.003815338
7146.01,1/31/2017,26.70775843,0.023786564,95.55,18.9975,30,0.03003663
7154.01,1/31/2017,140.194744,0.00698324,122.57,31.23280185,25,0.049114792
7163.01,1/31/2017,312.0967742,0.11753766,120.18,21.5635,40,0.080712265
7171.01,1/31/2017,22.83737024,-0.009255963,139.15,57.01,35,0.080919871
7228.01,1/31/2017,8.173498809,0.067246947,76.02,13.10648125,35,0.064325178
